country,language_hint,script_type,driving_side,road_lines,bollards,utility_poles,license_plate,sign_shapes,guardrails,landscape,google_car_meta
USA,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_optional,diamond_warning,metal_w_beam,urban,no_roof_rack
USA,none,none,right,yellow_center_white_edge,none,none,none,none,none,rural,no_roof_rack
USA,English,Latin,right,white_center_white_edge,none,wooden_tall,front_plate_required,diamond_warning,none,urban,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,none,none,diamond_warning,none,forest,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_optional,none,none,suburban,no_roof_rack
USA,none,none,right,yellow_center_white_edge,none,none,none,none,none,desert,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_required,diamond_warning,metal_w_beam,farmland,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,wooden_tall,none,diamond_warning,none,suburban,roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,none,none,none,none,urban,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_optional,diamond_warning,metal_w_beam,hilly,no_roof_rack
USA,none,none,right,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_required,diamond_warning,none,urban,roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,wooden_tall,none,diamond_warning,metal_w_beam,forest,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,none,none,none,none,flat_farmland,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_optional,diamond_warning,metal_w_beam,urban,no_roof_rack
USA,none,none,right,yellow_center_white_edge,none,none,none,none,none,coastal,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_required,diamond_warning,metal_w_beam,forest,no_roof_rack
USA,English,Latin,right,white_center_white_edge,none,wooden_tall,none,none,none,urban,no_roof_rack
USA,none,none,right,yellow_center_white_edge,none,none,none,none,none,suburban,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_optional,diamond_warning,metal_w_beam,hilly,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,none,none,none,none,farmland,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_required,diamond_warning,none,urban,roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,wooden_tall,none,diamond_warning,metal_w_beam,forest,no_roof_rack
USA,none,none,right,yellow_center_white_edge,none,none,none,none,none,suburban,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_optional,diamond_warning,metal_w_beam,urban,no_roof_rack
USA,English,Latin,right,white_center_white_edge,none,none,none,none,none,urban,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,none,none,diamond_warning,none,forest,no_roof_rack
USA,English,Latin,right,yellow_center_white_edge,none,wooden_tall,none,diamond_warning,metal_w_beam,farmland,no_roof_rack
USA,none,none,right,yellow_center_white_edge,none,none,none,none,none,urban,no_roof_rack

Canada,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_required,diamond_warning,metal_w_beam,forest,no_roof_rack
Canada,none,none,right,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
Canada,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_optional,diamond_warning,none,suburban,no_roof_rack
Canada,French,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_required,diamond_warning,metal_w_beam,urban,no_roof_rack
Canada,English,Latin,right,yellow_center_white_edge,none,metal_tall,none,diamond_warning,metal_w_beam,forest,no_roof_rack
Canada,none,none,right,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
Canada,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_optional,none,none,prairie,no_roof_rack
Canada,English,Latin,right,yellow_center_white_edge,none,wooden_tall,none,diamond_warning,metal_w_beam,coastal,no_roof_rack
Canada,English,Latin,right,yellow_center_white_edge,none,metal_tall,front_plate_required,diamond_warning,none,urban,no_roof_rack
Canada,none,none,right,white_center_white_edge,none,none,none,none,none,forest,no_roof_rack
Canada,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_optional,diamond_warning,metal_w_beam,suburban,no_roof_rack
Canada,French,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_required,none,none,urban,no_roof_rack
Canada,English,Latin,right,yellow_center_white_edge,none,none,none,diamond_warning,none,prairie,no_roof_rack
Canada,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_optional,diamond_warning,metal_w_beam,forest,no_roof_rack
Canada,none,none,right,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
Canada,English,Latin,right,yellow_center_white_edge,none,metal_tall,front_plate_required,diamond_warning,metal_w_beam,suburban,no_roof_rack
Canada,English,Latin,right,yellow_center_white_edge,none,wooden_tall,none,none,none,coastal,no_roof_rack
Canada,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_optional,diamond_warning,metal_w_beam,forest,no_roof_rack
Canada,none,none,right,yellow_center_white_edge,none,none,none,none,none,prairie,no_roof_rack
Canada,English,Latin,right,yellow_center_white_edge,none,metal_tall,front_plate_required,diamond_warning,none,urban,no_roof_rack
Canada,English,Latin,right,white_center_white_edge,none,wooden_tall,none,none,none,forest,no_roof_rack
Canada,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_optional,diamond_warning,metal_w_beam,suburban,no_roof_rack
Canada,French,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_required,diamond_warning,none,urban,no_roof_rack
Canada,none,none,right,yellow_center_white_edge,none,none,none,none,none,rural,no_roof_rack
Canada,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_optional,diamond_warning,none,prairie,no_roof_rack
Canada,English,Latin,right,yellow_center_white_edge,none,metal_tall,none,diamond_warning,metal_w_beam,forest,no_roof_rack
Canada,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_required,diamond_warning,none,urban,no_roof_rack
Canada,none,none,right,white_center_white_edge,none,none,none,none,none,forest,no_roof_rack
Canada,English,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_optional,diamond_warning,metal_w_beam,suburban,no_roof_rack

UK,English,Latin,left,white_center_white_edge,white_black,wooden_tall,front_plate_required,triangle_warning,metal_w_beam,suburban,no_roof_rack
UK,none,none,left,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
UK,English,Latin,left,white_center_white_edge,white_black,wooden_tall,front_plate_required,triangle_warning,none,urban,no_roof_rack
UK,English,Latin,left,white_center_white_edge,none,metal_tall,front_plate_optional,triangle_warning,none,coastal,no_roof_rack
UK,English,Latin,left,white_center_white_edge,white_black,wooden_tall,none,triangle_warning,metal_w_beam,hilly,no_roof_rack
UK,none,none,left,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
UK,English,Latin,left,white_center_white_edge,white_black,wooden_tall,front_plate_required,triangle_warning,none,urban,roof_rack
UK,English,Latin,left,white_center_white_edge,none,wooden_tall,front_plate_optional,none,none,suburban,no_roof_rack
UK,English,Latin,left,white_center_white_edge,white_black,none,none,triangle_warning,metal_w_beam,forest,no_roof_rack
UK,English,Latin,left,white_center_white_edge,none,wooden_tall,front_plate_required,triangle_warning,none,urban,no_roof_rack
UK,none,none,left,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
UK,English,Latin,left,white_center_white_edge,white_black,wooden_tall,front_plate_required,triangle_warning,metal_w_beam,hilly,no_roof_rack
UK,English,Latin,left,white_center_white_edge,none,metal_tall,front_plate_optional,none,none,suburban,no_roof_rack
UK,English,Latin,left,white_center_white_edge,white_black,wooden_tall,none,triangle_warning,none,urban,no_roof_rack
UK,English,Latin,left,white_center_white_edge,none,none,none,none,none,flat_farmland,no_roof_rack
UK,English,Latin,left,white_center_white_edge,white_black,wooden_tall,front_plate_required,triangle_warning,metal_w_beam,coastal,no_roof_rack
UK,none,none,left,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
UK,English,Latin,left,white_center_white_edge,white_black,wooden_tall,front_plate_optional,triangle_warning,none,suburban,no_roof_rack
UK,English,Latin,left,white_center_white_edge,none,wooden_tall,none,none,none,urban,no_roof_rack
UK,English,Latin,left,white_center_white_edge,white_black,none,front_plate_required,triangle_warning,metal_w_beam,hilly,no_roof_rack
UK,none,none,left,white_center_white_edge,none,none,none,none,none,forest,no_roof_rack
UK,English,Latin,left,white_center_white_edge,white_black,wooden_tall,front_plate_required,triangle_warning,none,urban,roof_rack
UK,English,Latin,left,white_center_white_edge,none,metal_tall,front_plate_optional,none,none,suburban,no_roof_rack
UK,English,Latin,left,white_center_white_edge,white_black,wooden_tall,none,triangle_warning,metal_w_beam,coastal,no_roof_rack
UK,none,none,left,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
UK,English,Latin,left,white_center_white_edge,white_black,wooden_tall,front_plate_required,triangle_warning,none,urban,no_roof_rack
UK,English,Latin,left,white_center_white_edge,none,none,none,none,none,suburban,no_roof_rack
UK,English,Latin,left,white_center_white_edge,white_black,wooden_tall,front_plate_optional,triangle_warning,metal_w_beam,hilly,no_roof_rack
UK,English,Latin,left,white_center_white_edge,none,wooden_tall,none,none,none,forest,no_roof_rack

France,French,Latin,right,white_center_white_edge,white_red,concrete_tall,front_plate_required,triangle_warning,metal_w_beam,suburban,no_roof_rack
France,none,none,right,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
France,French,Latin,right,white_center_white_edge,white_red,wooden_tall,front_plate_required,triangle_warning,none,urban,no_roof_rack
France,French,Latin,right,white_center_white_edge,none,metal_tall,none,triangle_warning,none,farmland,no_roof_rack
France,French,Latin,right,white_center_white_edge,white_red,concrete_tall,front_plate_required,triangle_warning,metal_w_beam,hilly,no_roof_rack
France,none,none,right,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
France,French,Latin,right,white_center_white_edge,white_red,wooden_tall,front_plate_required,triangle_warning,none,urban,roof_rack
France,French,Latin,right,white_center_white_edge,none,concrete_tall,none,none,none,suburban,no_roof_rack
France,French,Latin,right,white_center_white_edge,white_red,none,none,triangle_warning,metal_w_beam,forest,no_roof_rack
France,French,Latin,right,white_center_white_edge,none,wooden_tall,front_plate_required,triangle_warning,none,urban,no_roof_rack
France,none,none,right,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
France,French,Latin,right,white_center_white_edge,white_red,concrete_tall,front_plate_required,triangle_warning,metal_w_beam,hilly,no_roof_rack
France,French,Latin,right,white_center_white_edge,none,metal_tall,none,none,none,suburban,no_roof_rack
France,French,Latin,right,white_center_white_edge,white_red,wooden_tall,none,triangle_warning,none,urban,no_roof_rack
France,French,Latin,right,white_center_white_edge,none,none,none,none,none,flat_farmland,no_roof_rack
France,French,Latin,right,white_center_white_edge,white_red,concrete_tall,front_plate_required,triangle_warning,metal_w_beam,coastal,no_roof_rack
France,none,none,right,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
France,French,Latin,right,white_center_white_edge,white_red,wooden_tall,front_plate_required,triangle_warning,none,suburban,no_roof_rack
France,French,Latin,right,white_center_white_edge,none,wooden_tall,none,none,none,urban,no_roof_rack
France,French,Latin,right,white_center_white_edge,white_red,none,front_plate_required,triangle_warning,metal_w_beam,hilly,no_roof_rack
France,none,none,right,white_center_white_edge,none,none,none,none,none,forest,no_roof_rack
France,French,Latin,right,white_center_white_edge,white_red,wooden_tall,front_plate_required,triangle_warning,none,urban,roof_rack
France,French,Latin,right,white_center_white_edge,none,metal_tall,front_plate_required,none,none,suburban,no_roof_rack
France,French,Latin,right,white_center_white_edge,white_red,wooden_tall,none,triangle_warning,metal_w_beam,coastal,no_roof_rack
France,none,none,right,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
France,French,Latin,right,white_center_white_edge,white_red,concrete_tall,front_plate_required,triangle_warning,none,urban,no_roof_rack
France,French,Latin,right,white_center_white_edge,none,none,none,none,none,suburban,no_roof_rack
France,French,Latin,right,white_center_white_edge,white_red,wooden_tall,front_plate_required,triangle_warning,metal_w_beam,hilly,no_roof_rack
France,French,Latin,right,white_center_white_edge,none,wooden_tall,none,none,none,forest,no_roof_rack

Brazil,Portuguese,Latin,right,yellow_center_white_edge,none,concrete_tall,front_plate_required,diamond_warning,metal_w_beam,urban,roof_rack
Brazil,none,none,right,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
Brazil,Portuguese,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_optional,diamond_warning,none,suburban,no_roof_rack
Brazil,Portuguese,Latin,right,yellow_center_white_edge,none,concrete_tall,front_plate_required,diamond_warning,metal_w_beam,forest,roof_rack
Brazil,Portuguese,Latin,right,yellow_center_white_edge,none,none,none,none,none,farmland,no_roof_rack
Brazil,none,none,right,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
Brazil,Portuguese,Latin,right,yellow_center_white_edge,none,concrete_tall,front_plate_optional,diamond_warning,none,urban,no_roof_rack
Brazil,Portuguese,Latin,right,yellow_center_white_edge,none,wooden_tall,none,diamond_warning,metal_w_beam,hilly,roof_rack
Brazil,Portuguese,Latin,right,yellow_center_white_edge,none,concrete_tall,front_plate_required,none,none,suburban,no_roof_rack
Brazil,none,none,right,white_center_white_edge,none,none,none,none,none,forest,no_roof_rack
Brazil,Portuguese,Latin,right,yellow_center_white_edge,none,concrete_tall,front_plate_optional,diamond_warning,metal_w_beam,coastal,no_roof_rack
Brazil,Portuguese,Latin,right,yellow_center_white_edge,none,none,none,none,none,rural,no_roof_rack
Brazil,Portuguese,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_required,diamond_warning,none,urban,roof_rack
Brazil,none,none,right,white_center_white_edge,none,none,none,none,none,farmland,no_roof_rack
Brazil,Portuguese,Latin,right,yellow_center_white_edge,none,concrete_tall,front_plate_optional,diamond_warning,metal_w_beam,forest,no_roof_rack
Brazil,Portuguese,Latin,right,yellow_center_white_edge,none,none,none,none,none,suburban,no_roof_rack
Brazil,Portuguese,Latin,right,yellow_center_white_edge,none,concrete_tall,front_plate_required,diamond_warning,none,urban,no_roof_rack
Brazil,none,none,right,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
Brazil,Portuguese,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_optional,diamond_warning,metal_w_beam,hilly,roof_rack
Brazil,Portuguese,Latin,right,yellow_center_white_edge,none,concrete_tall,none,none,none,forest,no_roof_rack
Brazil,Portuguese,Latin,right,yellow_center_white_edge,none,none,front_plate_required,diamond_warning,metal_w_beam,urban,no_roof_rack
Brazil,none,none,right,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
Brazil,Portuguese,Latin,right,yellow_center_white_edge,none,concrete_tall,front_plate_optional,diamond_warning,none,suburban,no_roof_rack
Brazil,Portuguese,Latin,right,yellow_center_white_edge,none,wooden_tall,none,diamond_warning,metal_w_beam,coastal,roof_rack
Brazil,Portuguese,Latin,right,yellow_center_white_edge,none,concrete_tall,front_plate_required,triangle_warning,metal_w_beam,forest,no_roof_rack
Brazil,none,none,right,white_center_white_edge,none,none,none,none,none,farmland,no_roof_rack
Brazil,Portuguese,Latin,right,yellow_center_white_edge,none,wooden_tall,front_plate_optional,diamond_warning,none,urban,no_roof_rack
Brazil,Portuguese,Latin,right,yellow_center_white_edge,none,concrete_tall,none,diamond_warning,metal_w_beam,hilly,no_roof_rack
Brazil,none,none,right,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack

Japan,Japanese,Japanese,left,white_center_white_edge,white_red,metal_tall,front_plate_required,diamond_warning,metal_w_beam,suburban,no_roof_rack
Japan,none,none,left,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
Japan,Japanese,Japanese,left,white_center_white_edge,white_red,concrete_tall,front_plate_required,triangle_warning,none,urban,no_roof_rack
Japan,Japanese,Japanese,left,white_center_white_edge,none,metal_tall,none,diamond_warning,none,forest,no_roof_rack
Japan,Japanese,Japanese,left,white_center_white_edge,white_red,wooden_tall,front_plate_required,diamond_warning,metal_w_beam,hilly,no_roof_rack
Japan,none,none,left,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
Japan,Japanese,Japanese,left,white_center_white_edge,white_red,metal_tall,front_plate_optional,diamond_warning,none,suburban,no_roof_rack
Japan,Japanese,Japanese,left,white_center_white_edge,none,concrete_tall,none,none,none,urban,no_roof_rack
Japan,Japanese,Japanese,left,white_center_white_edge,white_red,none,front_plate_required,diamond_warning,metal_w_beam,forest,no_roof_rack
Japan,none,none,left,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
Japan,Japanese,Japanese,left,white_center_white_edge,white_red,metal_tall,front_plate_required,triangle_warning,metal_w_beam,coastal,no_roof_rack
Japan,Japanese,Japanese,left,white_center_white_edge,none,wooden_tall,none,diamond_warning,none,suburban,no_roof_rack
Japan,Japanese,Japanese,left,white_center_white_edge,white_red,concrete_tall,front_plate_required,diamond_warning,none,urban,no_roof_rack
Japan,none,none,left,white_center_white_edge,none,none,none,none,none,forest,no_roof_rack
Japan,Japanese,Japanese,left,white_center_white_edge,white_red,metal_tall,front_plate_optional,diamond_warning,metal_w_beam,hilly,no_roof_rack
Japan,Japanese,Japanese,left,white_center_white_edge,none,concrete_tall,none,none,none,suburban,no_roof_rack
Japan,Japanese,Japanese,left,white_center_white_edge,white_red,wooden_tall,front_plate_required,diamond_warning,none,urban,no_roof_rack
Japan,none,none,left,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
Japan,Japanese,Japanese,left,white_center_white_edge,white_red,metal_tall,front_plate_required,triangle_warning,metal_w_beam,forest,no_roof_rack
Japan,Japanese,Japanese,left,white_center_white_edge,none,metal_tall,none,none,none,suburban,no_roof_rack
Japan,Japanese,Japanese,left,white_center_white_edge,white_red,concrete_tall,front_plate_optional,diamond_warning,metal_w_beam,coastal,no_roof_rack
Japan,none,none,left,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
Japan,Japanese,Japanese,left,white_center_white_edge,white_red,metal_tall,front_plate_required,diamond_warning,none,urban,no_roof_rack
Japan,Japanese,Japanese,left,white_center_white_edge,none,wooden_tall,none,none,none,forest,no_roof_rack
Japan,Japanese,Japanese,left,white_center_white_edge,white_red,concrete_tall,front_plate_required,diamond_warning,metal_w_beam,hilly,no_roof_rack
Japan,none,none,left,white_center_white_edge,none,none,none,none,none,suburban,no_roof_rack
Japan,Japanese,Japanese,left,white_center_white_edge,white_red,metal_tall,front_plate_optional,triangle_warning,none,urban,no_roof_rack
Japan,Japanese,Japanese,left,white_center_white_edge,none,concrete_tall,none,diamond_warning,metal_w_beam,forest,no_roof_rack
Japan,Japanese,Japanese,left,white_center_white_edge,white_red,wooden_tall,front_plate_required,diamond_warning,none,urban,no_roof_rack

Australia,English,Latin,left,white_center_white_edge,white_red,wooden_tall,front_plate_required,diamond_warning,metal_w_beam,suburban,no_roof_rack
Australia,none,none,left,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
Australia,English,Latin,left,yellow_center_white_edge,white_red,metal_tall,front_plate_optional,diamond_warning,none,outback,no_roof_rack
Australia,English,Latin,left,white_center_white_edge,none,wooden_tall,none,diamond_warning,none,coastal,no_roof_rack
Australia,English,Latin,left,white_center_white_edge,white_red,none,front_plate_required,diamond_warning,metal_w_beam,forest,no_roof_rack
Australia,none,none,left,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
Australia,English,Latin,left,white_center_white_edge,white_red,metal_tall,front_plate_optional,diamond_warning,none,suburban,roof_rack
Australia,English,Latin,left,white_center_white_edge,none,wooden_tall,none,none,none,urban,no_roof_rack
Australia,English,Latin,left,yellow_center_white_edge,white_red,metal_tall,front_plate_required,diamond_warning,metal_w_beam,hilly,no_roof_rack
Australia,none,none,left,white_center_white_edge,none,none,none,none,none,outback,no_roof_rack
Australia,English,Latin,left,white_center_white_edge,white_red,wooden_tall,front_plate_optional,diamond_warning,none,coastal,no_roof_rack
Australia,English,Latin,left,white_center_white_edge,none,metal_tall,none,none,none,forest,no_roof_rack
Australia,English,Latin,left,white_center_white_edge,white_red,wooden_tall,front_plate_required,diamond_warning,metal_w_beam,urban,no_roof_rack
Australia,none,none,left,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
Australia,English,Latin,left,yellow_center_white_edge,white_red,metal_tall,front_plate_optional,diamond_warning,none,outback,roof_rack
Australia,English,Latin,left,white_center_white_edge,none,wooden_tall,none,none,none,suburban,no_roof_rack
Australia,English,Latin,left,white_center_white_edge,white_red,metal_tall,front_plate_required,diamond_warning,metal_w_beam,forest,no_roof_rack
Australia,none,none,left,white_center_white_edge,none,none,none,none,none,coastal,no_roof_rack
Australia,English,Latin,left,white_center_white_edge,white_red,wooden_tall,front_plate_optional,diamond_warning,none,urban,no_roof_rack
Australia,English,Latin,left,yellow_center_white_edge,none,metal_tall,none,none,none,outback,no_roof_rack
Australia,English,Latin,left,white_center_white_edge,white_red,wooden_tall,front_plate_required,diamond_warning,metal_w_beam,hilly,no_roof_rack
Australia,none,none,left,white_center_white_edge,none,none,none,none,none,rural,no_roof_rack
Australia,English,Latin,left,white_center_white_edge,white_red,metal_tall,front_plate_optional,diamond_warning,none,suburban,no_roof_rack
Australia,English,Latin,left,white_center_white_edge,none,wooden_tall,none,none,none,urban,no_roof_rack
Australia,English,Latin,left,yellow_center_white_edge,white_red,metal_tall,front_plate_required,diamond_warning,metal_w_beam,forest,no_roof_rack
Australia,none,none,left,white_center_white_edge,none,none,none,none,none,outback,no_roof_rack
Australia,English,Latin,left,white_center_white_edge,white_red,wooden_tall,front_plate_optional,diamond_warning,none,coastal,no_roof_rack
Australia,English,Latin,left,white_center_white_edge,none,metal_tall,none,none,none,suburban,no_roof_rack
Australia,English,Latin,left,white_center_white_edge,white_red,wooden_tall,front_plate_required,diamond_warning,metal_w_beam,hilly,no_roof_rack
Australia,none,none,left,white_center_white_edge,none,none,none,none,none,forest,no_roof_rack